artistName,musicName,Radiojavan_play,Radiojavan_likes,pubdate,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Sasy,Gentleman,97011366,92837,Mar 6 2019,50,0.847,0.899,-2.807,0.175,0.249,4.58E-05,0.334,0.963,128.017,186044
Mohsen Yeganeh,Behet Ghol Midam,82238605,92258,Feb 29 2016,50,0.794,0.539,-8.058,0.0458,0.505,4.01E-06,0.0685,0.709,95.031,217263
Behnam Bani,Ashegham Karde,68372476,66724,Mar 11 2017,42,0.749,0.914,-3.084,0.124,0.654,0,0.315,0.905,104.993,208515
Masih,To Ke Nisti Pisham,68357479,93209,Mar 13 2017,42,0.723,0.837,-5.779,0.168,0.356,0,0.353,0.563,142.478,185136
Masih,100 Rishteri,68074878,50030,Mar 16 2019,44,0.766,0.79,-6.484,0.202,0.0416,0,0.768,0.904,109.904,144327
Shadmehr Aghili,Door Shodi,67084762,74643,Jun 12 2019,45,0.685,0.876,-4.579,0.0869,0.608,0,0.162,0.713,89.969,192052
Hamed Homayoun,Chatre Khis,64675480,76749,Jun 15 2016,39,0.787,0.838,-6.19,0.0588,0.0475,7.59E-05,0.129,0.669,121.959,231471
Masih,Darya,64366558,73310,Feb 6 2019,44,0.589,0.603,-5.27,0.167,0.422,0,0.395,0.346,155.609,187152
Masih & Arash Ap,Bia Bazam,59912047,65190,Oct 10 2015,35,0.742,0.714,-4.365,0.31,0.532,0,0.17,0.761,85.045,203180
Ashvan,Sheyda,59474379,66437,Feb 14 2019,43,0.515,0.726,-7.189,0.158,0.00158,0,0.228,0.568,115.067,202397
Hoorosh Band,Ashegham Kardi,56918364,52447,Dec 3 2018,45,0.818,0.679,-5.528,0.11,0.189,0,0.257,0.828,101.961,182712
Behnam Bani,Akhmato Va Kon,55895816,53389,Jul 16 2017,35,0.72,0.876,-2.838,0.0844,0.375,0,0.398,0.771,105.025,197695
Masoud Sadeghloo,Akhare Shab - Remix,54785645,64703,Dec 26 2016,15,0.755,0.923,-5.478,0.142,0.0479,0,0.347,0.661,120.05,258064
Sasy,Saaghiya,52658150,44365,Mar 5 2016,42,0.794,0.781,-5.332,0.196,0.0554,0,0.881,0.508,118.031,185130
Hoorosh Band,Mah Pishooni,52153840,52915,Mar 8 2018,42,0.74,0.653,-8.043,0.0649,0.544,0,0.243,0.765,147.037,182204
Sasy,Che Pesari,51796258,35920,Aug 1 2018,28,0.791,0.947,-3.01,0.314,0.00862,0,0.39,0.821,119.993,180037
Ebi,Gheseh Eshgh,51419400,43708,Feb 19 2013,34,0.845,0.599,-11.122,0.159,0.705,0,0.151,0.922,114.898,250307
Shahab Mozaffari,Delbarito Kamtaresh Kon,51358185,64170,Dec 16 2017,39,0.845,0.732,-4.38,0.206,0.254,0,0.204,0.891,142.483,192048
Amir Tataloo,Navazesh,51195643,63929,Dec 2 2016,40,0.626,0.62,-7.82,0.373,0.767,0,0.0907,0.493,165.508,242232
Behnam Bani,Ghorse Ghamar 2,50730980,46655,Feb 4 2018,39,0.701,0.911,-2.891,0.221,0.0471,0,0.262,0.889,123.993,177908
Hoorosh Band,Be Ki Poz Midi,50710043,58160,May 31 2017,36,0.729,0.692,-5.481,0.0324,0.712,0,0.102,0.688,124.523,194273
Farzad Farzin,Asheghaneh,50537551,54159,Mar 14 2017,45,0.636,0.841,-3.656,0.0701,0.348,3.86E-06,0.148,0.707,82.499,231497
Hamid Hiraad,Shookhie Mage,49683771,73183,Oct 30 2017,41,0.688,0.785,-2.679,0.123,0.148,0,0.437,0.682,89.953,205363
Alishmas,Adat Kardam,49230680,40274,Mar 1 2016,40,0.728,0.851,-5.728,0.177,0.643,0.000242,0.243,0.958,94.92,240072
Alishmas,Adat Kardam,48022757,43621,Nov 11 2015,40,0.728,0.851,-5.728,0.177,0.643,0.000242,0.243,0.958,94.92,240072
Shadmehr Aghili,Rooze Sard,47114925,53737,Dec 9 2016,35,0.607,0.715,-5.407,0.0433,0.706,0,0.326,0.298,127.901,243592
Shadmehr Aghili,Vaghti Ke Bad Misham,46543683,48975,Mar 17 2019,43,0.689,0.758,-5.592,0.0756,0.58,0,0.318,0.586,160.47,200673
Sogand,Salam,46496875,49191,Mar 13 2019,37,0.902,0.586,-5.887,0.0736,0.114,0,0.375,0.834,121.994,195214
Aref,Ki Behtar Az To,45439789,57131,Oct 30 2016,41,0.735,0.869,-5.049,0.0737,0.546,0,0.129,0.871,109.993,235678
Reza Bahram,Az Eshgh Bego,44625653,48966,Jul 20 2018,42,0.414,0.286,-9.429,0.0328,0.94,9.12E-06,0.0913,0.474,78.091,222067
Mohammad Alizadeh,Eshgham Inrooza,44501454,55557,Nov 30 2016,4,0.699,0.746,-6.238,0.0364,0.232,3.64E-05,0.0868,0.855,124.995,217992
Hoorosh Band,Akhar Mano Be Baad Dad,44481812,38345,May 1 2017,20,0.696,0.637,-6.572,0.0386,0.82,0,0.113,0.511,110.067,212729
Sirvan Khosravi,Ghabe Akse Khali,44331585,49283,Sep 13 2016,36,0.705,0.806,-6.266,0.0855,0.00583,3.37E-05,0.25,0.706,124.001,279118
Aron Afshar,Janam Bash,43816333,48010,Feb 4 2019,46,0.706,0.838,-3.213,0.282,0.714,0,0.106,0.709,150.009,262871
Reza Bahram,Divaneh,43456471,45349,Nov 21 2018,39,0.484,0.349,-5.001,0.034,0.9,0,0.0985,0.388,78.39,244549
Macan Band,2 Deyghe Boodi,42810108,29265,Dec 27 2017,33,0.643,0.618,-6.364,0.0732,0.0338,0.00758,0.0814,0.64,125.228,147057
Behnam Bani,Che Bekhay Che Nakhay,42743979,42952,Aug 3 2017,24,0.748,0.881,-2.844,0.0895,0.499,0,0.57,0.955,112.957,222015
Evan Band,Alijenab,42267904,48651,Aug 27 2018,48,0.81,0.764,-5.334,0.0339,0.213,6.83E-06,0.341,0.678,120.074,215092
Aron Afshar,Shabe Royaei,41973756,41073,Oct 8 2019,48,0.701,0.91,-3.96,0.281,0.653,0,0.186,0.608,103.026,239491
Shadmehr Aghili,Hesse Khoobie - Original Mix,41824784,37381,Feb 4 2016,42,0.501,0.865,-4.188,0.0665,0.294,0,0.317,0.647,82.274,262896
Alireza Talischi,Akharesh Ghashange,41314014,43062,Nov 24 2018,31,0.687,0.884,-4.488,0.0666,0.34,0,0.177,0.754,141.974,163149
Shadmehr Aghili,Ghalbe Man,41242322,50486,Aug 26 2017,32,0.657,0.816,-4.366,0.0605,0.315,4.82E-06,0.358,0.439,124.998,200229
Masih & Arash Ap,Hanooz Hamoonam,40604825,38554,Jun 23 2015,31,0.76,0.807,-4.598,0.341,0.123,2.63E-05,0.341,0.569,118.008,243827
Shadmehr Aghili,Khaabe Khosh,39553515,51096,Oct 26 2019,41,0.645,0.794,-6.015,0.195,0.296,0,0.194,0.272,110.015,223713
